Date,Temp1,Intensity1,Temp2,Intensity2,Temp3,Intensity3
11/9/22,78.098,576,77.749,99,77.923,44
11/9/22,84.115,672,83.757,512,83.221,416
11/9/22,73.407,0,73.407,0,72.545,0
11/10/22,76.354,0,76.006,0,76.528,0
11/10/22,76.876,63,76.703,46,76.876,47
11/10/22,82.686,704,81.621,368,81.975,800
11/10/22,73.926,0,74.446,0,75.832,0
11/11/22,76.354,0,76.528,0,76.703,0
11/11/22,77.225,288,76.876,160,76.876,78
11/11/22,82.152,960,80.735,416,81.442,464
11/11/22,76.006,0,74.791,0,76.006,0
11/12/22,76.181,0,76.181,0,76.354,0
11/12/22,77.4,1216,77.225,100,77.225,55
11/12/22,81.975,896,80.735,496,81.09,512
11/12/22,76.354,0,76.354,0,76.528,0
11/13/22,76.528,0,76.181,0,76.528,0
11/13/22,77.923,81,77.749,69,77.749,23
11/13/22,83.221,1088,82.33,480,82.508,496
11/13/22,76.876,0,76.703,0,76.876,0
11/14/22,76.181,0,76.181,0,76.181,0
11/14/22,77.4,78,77.05,73,77.225,48
11/14/22,83.757,704,83.043,144,83.579,256
11/14/22,77.923,0,77.749,0,77.923,0
11/15/22,76.354,0,76.181,0,76.354,0
11/15/22,76.528,49,76.354,28,76.528,18
11/15/22,82.152,608,83.043,496,82.508,352
11/15/22,78.449,0,78.274,0,78.449,0
11/16/22,75.312,0,75.139,0,75.312,0
11/16/22,75.832,704,75.484,66,75.832,36
11/16/22,81.797,1152,81.797,200,81.442,67
11/16/22,78.449,0,78.274,0,78.274,0
11/17/22,76.528,0,76.181,0,76.528,0
11/17/22,77.749,144,77.574,60,77.749,67
11/17/22,83.579,768,83.935,304,82.864,352
11/17/22,79.151,0,78.975,0,78.975,0
11/18/22,78.098,0,77.923,0,78.098,0
11/18/22,78.449,432,78.098,160,78.274,123
11/18/22,83.935,768,85.194,320,83.757,208
11/18/22,80.029,0,79.853,0,80.029,0
11/19/22,77.574,0,77.4,0,77.4,0
11/19/22,77.4,208,77.05,96,77.4,63
11/19/22,82.686,992,83.579,576,82.864,256
11/19/22,78.449,0,78.098,0,78.274,0
11/20/22,76.876,0,76.703,0,76.876,0
11/20/22,76.703,83,76.354,85,76.703,35
11/20/22,82.508,576,83.399,416,82.864,368
11/20/22,73.753,0,74.791,0,73.407,0
11/21/22,76.528,0,76.181,0,76.528,0
11/21/22,76.703,320,76.354,480,76.703,101
11/21/22,82.33,1472,81.797,512,82.508,480
11/21/22,72.199,0,74.791,0,72.199,0
11/22/22,76.006,0,75.832,0,76.181,0
11/22/22,76.703,240,76.354,52,76.528,41
11/22/22,80.559,336,80.206,576,80.382,168
11/22/22,74.098,0,73.062,0,71.856,0
11/23/22,75.312,0,75.139,0,75.484,0
11/23/22,75.312,232,74.964,184,75.139,32
11/23/22,81.09,384,80.911,800,81.09,216
11/23/22,74.271,0,74.619,0,72.891,0
11/24/22,75.139,0,74.619,0,74.619,0
11/24/22,76.006,90,75.659,70,75.832,20
11/24/22,78.624,704,77.749,672,77.749,432
11/24/22,68.421,0,70.308,0,68.592,0
11/25/22,75.312,0,75.139,0,75.312,0
11/25/22,74.791,464,74.619,512,74.619,74
11/25/22,78.975,672,78.449,512,78.449,1344
11/25/22,72.028,0,69.449,0,73.234,0
11/26/22,74.619,0,74.446,0,74.619,0
11/26/22,75.659,27,75.484,50,75.484,41
11/26/22,77.749,608,77.05,960,76.876,672
11/26/22,75.312,0,75.139,0,75.312,0
11/27/22,76.354,0,76.181,0,76.181,0
